"id","name","type_of_parameter","type_values","image","created_at","updated_at","order"
"3","Thời hạn thuê","radiobutton","{""0"":""Th\u00e1ng"",""1"":""N\u0103m""}","1693542926.0231.svg","2023-09-01 04:35:26","2024-03-07 11:48:42","16"
"4","Nhà vệ sinh","number","null","1693543003.512.svg","2023-09-01 04:36:43","2024-03-07 12:12:53","15"
"5","Tiện ích bổ sung","checkbox","{""0"":""Ch\u1ed5 \u0111\u1eadu xe"",""1"":""H\u1ed3 b\u01a1i"",""2"":""\u0110\u01b0\u1eddng ch\u00ednh"",""3"":""Club"",""4"":""View bi\u1ec3n"",""5"":""Ph\u00f2ng Gym""}","1693543133.5743.svg","2023-09-01 04:38:53","2023-09-01 04:38:53","17"
"6","Đăng bởi","dropdown","{""0"":""Ch\u1ee7 nh\u00e0"",""1"":""M\u00f4 gi\u1edbi"",""2"":""\u0110\u1ea1i l\u00fd"",""3"":""C\u00f4ng ty""}","1693543445.9659.svg","2023-09-01 04:44:05","2023-09-01 04:44:05","18"
"7","Tình trạng xây dựng","radiobutton","{""0"":""M\u1edbi x\u00e2y"",""1"":""\u0110ang x\u00e2y d\u01b0ng"",""2"":""\u0110ang s\u1eed d\u1ee5ng""}","1693544059.0917.svg","2023-09-01 04:54:19","2023-09-01 04:54:19","14"
"8","Nội thất","radiobutton","{""0"":""C\u00f3 n\u1ed9i th\u1ea5t"",""1"":""Kh\u00f4ng n\u1ed9i th\u1ea5t""}","1693544152.4705.svg","2023-09-01 04:55:52","2023-09-01 04:55:52","13"
"9","Diện tích sàn","number","null","1693544221.9605.svg","2023-09-01 04:57:01","2023-09-01 05:03:59","12"
"10","Đường rộng","number","null","1693544245.7422.svg","2023-09-01 04:57:25","2024-03-07 12:11:05","4"
"11","Hồ bơi","number","null","1693544449.6209.svg","2023-09-01 05:00:49","2023-09-01 05:00:49","11"
"12","Hướng","dropdown","{""0"":""\u0110\u00f4ng"",""1"":""Nam"",""2"":""T\u00e2y"",""3"":""B\u1eafc"",""4"":""\u0110\u00f4ng Nam"",""5"":""T\u00e2y Nam"",""6"":""T\u00e2y B\u1eafc"",""7"":""\u0110\u00f4ng B\u1eafc""}","1693544479.7131.svg","2023-09-01 05:01:19","2024-03-24 13:53:51","3"
"13","Pháp lý","dropdown","{""0"":""S\u1ed5 x\u00e2y d\u1ef1ng"",""1"":""S\u1ed5 n\u00f4ng nghi\u1ec7p"",""2"":""S\u1ed5 ph\u00e2n quy\u1ec1n n\u00f4ng nghi\u1ec7p"",""3"":""S\u1ed5 ph\u00e2n quy\u1ec1n x\u00e2y d\u1ef1ng"",""4"":""Gi\u1ea5y tay""}","1693544532.232.svg","2023-09-01 05:02:12","2024-03-24 13:40:09","2"
"14","Chiều dài mặt tiền","number","null","1693544560.7765.svg","2023-09-01 05:02:40","2024-03-07 12:10:16","5"
"15","Diện tích","number","null","1693544682.6461.svg","2023-09-01 05:04:42","2023-09-01 05:04:42","1"
"16","Giá m2","number","null","1693544745.3691.svg","2023-09-01 05:05:45","2024-03-07 11:45:43","6"
"17","Gara đổ xe - chổ đậu xe","radiobutton","{""0"":""C\u00f3""}","1693544768.9913.svg","2023-09-01 05:06:08","2024-03-08 08:11:14","10"
"18","Số tầng","number","null","1693544866.1543.svg","2023-09-01 05:07:46","2024-03-07 12:04:39","7"
"19","Phòng ngủ","number","null","1693544912.9819.svg","2023-09-01 05:08:32","2024-03-13 10:49:41","9"
"20","Diện tích sử dụng","number","null","1710846255.1255.svg","2024-03-19 11:04:15","2024-06-14 13:52:35","8"
