"id","category_id","package_id","title","description","address","client_address","propery_type","price","post_type","city","country","state","title_image","threeD_image","video_link","latitude","longitude","added_by","status","total_click","created_at","updated_at","rentduration","street_number","street_code","ward_code","host_id","commission","slug"
"50","6","1","Bán Nhà, Khe Sanh, Phường 10","Bán nhà tại số 5 khe sanh ,phường 10 đalat Lâm Đồng . Diện tích 137m. Sổ hồng riêng biệt . Tổng diễn tích sử dụng 274m vuông . Giá bán 7,5 tỷ . Cần thêm thông tin liên hệ trực tiếp chính chủ .","Khe Sanh, Phường 10",,"0","7500000000","1",,,,"1741834257.524.jpg",,,"11.937979899534557","108.45954179763794","1","1","486","2025-01-31 04:29:55","2026-01-28 02:54:46",,"05","ST85","24796","26","150000000","ban-nha-duong-yersin-phuong-10-21"
"51","4","1","Bán Nhà giấy tay, Trần Hưng Đạo, Phường Xuân Hương","Bán nhà tại 13 Trần Hưng Đạo phường 10 Đà Lạt Lâm Đồng . Diện tích 50m vuông nhà còn mới hoàn toàn , đẹp thoáng mát . Để lại toàn bộ nội thất giá còn thương lượng ai cần thêm thông tin lh chính chủ","Trần Hưng Đạo, Phường Xuân Hương",,"0","2300000000","1",,,,"1721968891.6212.jpg",,,"11.937988756204067","108.44930917024612","1","1","416","2025-01-31 04:29:55","2026-01-27 20:56:15",,"13/18","ST190","24796","26","46000000","ban-nha-duong-yersin-phuong-1-22"
"52","6","1","Bán Nhà, Đường Yersin, Phường 10","Nhà ngay mặt đường rộng thoáng, 2 xe oto tránh nhau. Ngay khu dân cư an ninh, gần bánh căn Lệ. Phù hợp xây khách sạn, nhà ở, đầu tư...Có sân đậu xe trong nhà","Đường Yersin, Phường 10",,"0","17500000000","1",,,,"1723893109.1171.jpg",,,"11.942794604809139","108.45093458890915","1","4","387","2025-01-31 04:29:55","2026-01-26 23:45:46",,"27/32","ST62","24796","27","175000000","ban-nha-duong-yersin-phuong-10"
"53","6","1","Bán Nhà, Đường Yersin, Phường 10","Đất xây dựng 300m, đất vuông đẹp, bằng phẳng, mặt tiền 8m, nở hậu. đường xe oto, khu dân cư an ninh đẹp, gần trung tâm. Phù hợp đầu tư xây khách sạn. Tầng 2 view hồ Xuân Hương","Đường Yersin, Phường 10",,"0","22000000000","1",,,,"1732506975.409.jpg",,,"11.942098875672995","108.45008533447981","1","4","255","2025-01-31 04:29:55","2026-01-26 23:03:26",,"27/63b","ST62","24790","28","220000000","ban-nha-duong-yersin-phuong-6-53"
"54","6","1","Bán Nhà, Đường Yersin, Phường Xuân Hương","Nhà thoáng đẹp, khu dân cư an ninh, trung tâm","Đường Yersin, Phường Xuân Hương",,"0","13200000000","1",,,,"1723899752.7612.jpg",,,"11.942654868690402","108.45068715512753","1","1","316","2025-01-31 04:29:55","2026-01-27 15:54:36",,"27/34B","ST62","24796","28","132000000","ban-nha-duong-yersin-phuong-10-54"
"55","11","1","Bán Đất nông nghiệp, Đặng Thái Thân, Phường 3","Bán đất nông nghiệp có nguồn gốc từ năm 90, view rừng thông đẹp, gần trung tâm cách big C 1,5km, phù hơ mua đầu tư","Đặng Thái Thân, Phường 3",,"0","5500000000","1",,,,"1723900743.2409.jpg",,,"11.925582246668663","108.45192164182663","1","1","428","2025-01-31 04:29:55","2026-01-27 19:27:41",,"hẻm 4","ST59","24796","29","110000000","ban-dat-nong-nghiep-dang-thai-than-phuong-3"
"56","6","1","Bán Nhà, Ma Trang Sơn, Phường 6","Nhà mặt tiền xây dựng đẹp, có hâng đậu xe, phù hợp mùa đầu tư ở, làm khách sạn mini","Ma Trang Sơn, Phường 6",,"0","15000000000","1",,,,"1723901614.5054.jpg",,,"11.942451168726217","108.42410679906607","1","1","472","2025-01-31 04:29:55","2026-01-27 18:30:04",,"13","ST119","24790","30","300000000","ban-nha-ma-trang-son-phuong-6"
"57","2","1","Bán Khách sạn, Bùi Thị Xuân, Thị trấn Lạc Dương","abc","Bùi Thị Xuân, Thị trấn Lạc Dương",,"0","5000000000","1",,,,"1724160241.0896.webp",,,"11.945119593314761","108.4392998367548","2","4","203","2025-01-31 04:29:55","2026-01-28 03:54:17","Monthly","5","ST10","24769","29","100000000","ban-khach-san-bui-thi-xuan-phuong-3-57"
"59","1","1","Bán Đất ở, Hùng Vương, Phường 11","abccdgj","Hùng Vương, Phường 11",,"0","24000000000","1",,,,"1731308249.2199.jpg",,,"11.946621575136414","108.49015150219202","8","0","168","2025-01-31 04:29:55","2026-01-26 23:25:28",,"100","ST80","24811","32","480000000","ban-dat-o-hung-vuong-phuong-11"
"60","6","1","Bán Nhà, Nguyễn Trãi, Phường 10","Đất 2 mặt tiền, vị trí ngay cổng ga Đà Lạt, mặt tiền sau ngay KQH Phạm Hồng Thái, phù hơpn đầu tư xây khách sạn","Nguyễn Trãi, Phường 10",,"0","26000000000","1",,,,"1732609957.9976.jpg",,,"11.941702955465885","108.45358829945324","1","1","280","2025-01-31 04:29:55","2026-01-27 22:37:55",,"1B","ST144","24796","33","26000000000","ban-nha-nguyen-trai-phuong-10"
